run,admission,lab,comorb,artificial,auc_auc,auc_loss
1,1,1,1,1,0.825384918,0.825530244
1,1,1,1,0,0.404210526,0.490054988
1,1,1,0,1,0.553071485,0.569819324
1,1,1,0,0,0.510290652,0.496952082
1,1,0,1,1,0.804312647,0.803032207
1,1,0,1,0,0.630887667,0.640911233
1,1,0,0,1,0.865593087,0.832600157
1,1,0,0,0,0.611956009,0.596559309
2,1,1,1,1,0.83487824,0.818051846
2,1,1,1,0,0.441948154,0.497203456
2,1,1,0,1,0.625828751,0.560754124
2,1,1,0,0,0.499560094,0.453747054
2,1,0,1,1,0.804701493,0.787580518
2,1,0,1,0,0.646080126,0.633401414
2,1,0,0,1,0.825667714,0.83705813
2,1,0,0,0,0.620219953,0.610620581
3,1,1,1,1,0.856339356,0.834269442
3,1,1,1,0,0.412600157,0.471610369
3,1,1,0,1,0.605671642,0.555789474
3,1,1,0,0,0.464524745,0.455506677
3,1,0,1,1,0.824069128,0.790141398
3,1,0,1,0,0.658146112,0.639701493
3,1,0,0,1,0.858586017,0.845090338
3,1,0,0,0,0.632160251,0.624108405
4,1,1,1,1,0.828173606,0.835337785
4,1,1,1,0,0.507148468,0.491531815
4,1,1,0,1,0.647195601,0.687054203
4,1,1,0,0,0.44939513,0.43915161
4,1,0,1,1,0.790090338,0.759418696
4,1,0,1,0,0.635333857,0.621461115
4,1,0,0,1,0.866535742,0.841115475
4,1,0,0,0,0.621068342,0.633605656
5,1,1,1,1,0.814457973,0.814457973
5,1,1,1,0,0.446174391,0.559937156
5,1,1,0,1,0.615600943,0.661665357
5,1,1,0,0,0.504116261,0.463346426
5,1,0,1,1,0.792010998,0.795526316
5,1,0,1,0,0.652081697,0.647085625
5,1,0,0,1,0.814061273,0.794269442
5,1,0,0,0,0.632486253,0.637348782
